account_id,account,month,consumption_usd,as_of
ACC-1041,Northwind Analytics,2026-02,358000,2026-08-01
ACC-1041,Northwind Analytics,2026-03,374000,2026-08-01
ACC-1041,Northwind Analytics,2026-04,382000,2026-08-01
ACC-1041,Northwind Analytics,2026-05,391000,2026-08-01
ACC-1041,Northwind Analytics,2026-06,404000,2026-08-01
ACC-1041,Northwind Analytics,2026-07,412000,2026-08-01
ACC-2277,Tailspin Robotics,2026-02,171000,2026-08-01
ACC-2277,Tailspin Robotics,2026-03,188000,2026-08-01
ACC-2277,Tailspin Robotics,2026-04,207000,2026-08-01
ACC-2277,Tailspin Robotics,2026-05,224000,2026-08-01
ACC-2277,Tailspin Robotics,2026-06,241000,2026-08-01
ACC-2277,Tailspin Robotics,2026-07,258000,2026-08-01
ACC-3390,Relecloud Media,2026-02,203000,2026-08-01
ACC-3390,Relecloud Media,2026-03,211000,2026-08-01
ACC-3390,Relecloud Media,2026-04,208000,2026-08-01
ACC-3390,Relecloud Media,2026-05,216000,2026-08-01
ACC-3390,Relecloud Media,2026-06,222000,2026-08-01
ACC-3390,Relecloud Media,2026-07,219000,2026-08-01
